番組ID,番組分類,ゲーム種別,番組名,バングミメイ,番組名補,バングミメイホ,放映話数,年齢制限,放映開始日
18841,"Webアニメーション","","暦物語","コヨミモノガタリ","","","12","","2015-12-19"
14071,"オリジナルビデオアニメーション","","懲らしめ","コラシメ","","","2","18才以上","2001-06-15"
4446,"ゲーム","シミュレーション","懲らしめ ~狂育的指導~","コラシメキョウイクテキシドウ","","","","18才以上","2000-11-24"
6106,"ゲーム","アドベンチャー","懲らしめ2~狂育的デパガ指導~","コラシメツーキョウイクテキデバガシドウ","","","","18才以上","2003-06-27"
506,"人形劇","","コラルの探検","コラルノタンケン","","","50","","1979-04-07"
2890,"オリジナルビデオアニメーション","","ゴリラーマン","ゴリラーマン1","","","1","","1992-06-25"
3239,"オリジナルビデオアニメーション","","ゴリラーマン2","ゴリラーマン2","","","1","","1993-12-24"
12880,"ドラマ","","ゴリラ 警視庁捜査第8班","ゴリラケイシチョウソウサダイハッパン","","","46","","1989-04-02"
9980,"テレビアニメーション","","ゴルゴ13","ゴルゴサーティーン","","","50","","2008-04-12"
1662,"劇場用アニメーション","","ゴルゴ13","ゴルゴサーティーン","","","1","","1983-05-28"
14780,"一般映画","","ゴルゴ13","ゴルゴサーティーン","","","","","1973-12-29"
5626,"ゲーム","アクション","ゴルゴ13神々の黄昏","ゴルゴサーティーンカミガミノタソガレ","","","","","1988-03-26"
6473,"オリジナルビデオアニメーション","","ゴルゴ13 \"QUEEN BEE\"","ゴルゴサーティーンクイーンビー","","","1","","1998-05-21"
13714,"劇場用アニメーション","","コルドロン","コルドロン","","","1","","1985-07-24"
14300,"ドラマ","","これが青春だ","コレガセイシュンダ","","","","","1966-11-20"
7292,"テレビアニメーション","","これが私の御主人様","コレガワタシノゴシュジンサマ","He is my master","ヒーイズマイマスター","12","","2005-04-08"
2068,"テレビアニメーション","","コレクターユイ","コレクターユイ","","","26","","1999-04-09"
3817,"テレビアニメーション","","コレクターユイ(第2期)","コレクターユイ","","","26","","2000-04-14"
18075,"ゲーム","アドベンチャー","これって、リア充? ~黒ギャルが、ドーテーを教育するそうですよ~","コレッテリアジュウクロギャルガドーテーヲキョウイクスルソウデスヨ","","","","18才以上","2015-06-19"
18220,"一般映画","","これでいいのだ!!映画★赤塚不二夫","コレデイイノダエイガアカツカフジオ","","","1","","2011-04-30"
13244,"テレビアニメーション","","これはゾンビですか?","コレハゾンビデスカ","","","12","","2011-01-11"
14447,"テレビアニメーション","","これはゾンビですか? OF THE DEAD","コレハゾンビデスカオブザデッド","","","10","","2012-04-05"
11447,"ゲーム","パズル","ころがしパズル塊魂","コロガシパズルカタマリダマシイ","","","","全年齢","2009-03-25"
2564,"オリジナルビデオアニメーション","","ころがし涼太","コロガシリョウタ","","","3","","1990-11-21"
16579,"テレビアニメーション","","殺し屋さん","コロシヤサン","","","10","","2013-10-11"
12905,"ドラマ","","コロちゃんの冒険","コロチャンノボウケン","","","12","","1959-04-01"
5979,"テレビアニメーション","","コロッケ!","コロッケ","","","78","","2003-04-07"
19132,"ゲーム","アドベンチャー","コロナ・ブロッサム","コロナブロッサム","Corona Blossom","","","18才以上","2016-00-00"
13003,"劇場用アニメーション","","コロの大さんぽ","コロノオオサンポ","","","1","","2002-01-03"
3046,"オリジナルビデオアニメーション","","コロンブスの大冒険","コロンブスノダイボウケン","","","1","","1993-01-01"
14589,"オリジナルビデオアニメーション","","蠱惑の刻","コワクノトキ","","","","18才以上","2011-10-28"
10295,"ゲーム","アドベンチャー","蠱惑の刻","コワクノトキ","","","","18才以上","2007-07-27"
529,"テレビアニメーション","","ゴワッパー5ゴーダム","ゴワッパーファイブゴーダム","","","36","","1976-04-04"
15461,"オリジナルビデオアニメーション","","「こわれもの」II","コワレモノツー","","","2","18才以上","2001-08-25"
14559,"テレビアニメーション","","GON","ゴン","","","76","","2012-04-02"
15044,"ドラマ","","コンカツ・リカツ","コンカツリカツ","","","8","","2009-04-03"
4566,"劇場用アニメーション","","ごんぎつね","ゴンギツネ","","","1","","1985-03-16"
18542,"テレビアニメーション","","コンクリート・レボルティオ~超人幻想~","コンクリートレボルティオチョウジンゲンソウ","","","13","","2015-10-04"
19100,"テレビアニメーション","","コンクリート・レボルティオ~超人幻想~","コンクリートレボルティオチョウジンゲンソウ","THE LAST SONG","ザラストソング","","","2016-04-03"
5970,"テレビアニメーション","","金色のガッシュベル!!","コンジキノガッシュベル","","","150","","2003-04-06"
6886,"劇場用アニメーション","","劇場版金色のガッシュベル!! 101番目の魔物","コンジキノガッシュベル(エイガ1)ヒャクイチバンメノマモノ","","","","","2004-08-07"
7419,"劇場用アニメーション","","劇場版金色のガッシュベル!! メカバルカンの来襲","コンジキノガッシュベル(エイガ2)メカバルカンノタイシュウ","ATTACK OF MECHAVULCAN","アタックオブメカバルカン","1","","2005-08-06"
6816,"ゲーム","対戦格闘アクション","金色のガッシュベル~友情のタッグバトル~","コンジキノガッシュベル(ゲーム)ユウジョウノタッグバトル","","","","","2004-03-25"
14507,"ゲーム","ロールプレイング","CONCEPTION 俺の子供を産んでくれ!","コンセプションオレノコドモヲウンデクレ","","","","15才以上","2012-04-26"
16268,"ゲーム","ロールプレイング","コンセプションⅡ 七星の導きとマズルの悪夢","コンセプションツーナナセイノミチビキトマズルノアクム","","","","","2013-08-22"
10439,"ドラマ","","ゴンゾウ～伝説の刑事","ゴンゾウデンセツノケイジ","","","10","","2008-07-02"
12680,"ゲーム","アドベンチャー","こんそめ!~combination somebody~","コンソメコンビネーションサムバディ","","","","18才以上","2010-06-25"
4877,"ゲーム","アドベンチャー","CONCERTO.","コンチェルト","","","","18才以上","2001-07-27"
10020,"ゲーム","アドベンチャー","コンチェルトノート","コンチェルトノート","","","","18才以上","2008-10-23"
508,"テレビアニメーション","","昆虫物語新みなしごハッチ","コンチュウモノガタリシンミナシゴハッチ","","","26","","1974-04-05"
12828,"劇場用アニメーション","","昆虫物語 みつばちハッチ~勇気のメロディ~","コンチュウモノガタリミツバチハッチユウキノメロディ","","","1","","2010-07-31"
509,"テレビアニメーション","","昆虫物語みなしごハッチ","コンチュウモノガタリミナシゴハッチ","","","91","","1970-04-07"
510,"テレビアニメーション","","昆虫物語みなしごハッチ(新)","コンチュウモノガタリミナシゴハッチ(シン)","","","55","","1989-04-21"
12958,"ドラマ","","こんな学園みたことない!","コンナガクエンミタコトナイ","","","24","","1987-10-11"
512,"テレビアニメーション","","こんなこいるかな","コンナコイルカナ","","","","","1986-03-14"
8903,"ゲーム","アドベンチャー","こんな娘がいたら僕はもう…!!","コンナコガイタラボクハモウ","","","","18才以上","2006-09-29"
10974,"テレビアニメーション","","こんにちは アン","コンニチハアン","~Before Green Gables","ビフォアグリーンゲイブルズ","39","","2009-04-05"
4430,"劇場用アニメーション","","こんにちは風さん","コンニチハカゼサン","","","1","","1979-00-00"
7670,"ゲーム","アドベンチャー","こんねこ","コンネコ","","","","","2004-10-29"
1829,"オリジナルビデオアニメーション","","Compiler","コンパイラ","","","2","","1994-03-05"
11092,"オリジナルビデオアニメーション","","COMPILER FESTA","コンパイラフェスタ","","","1","","1996-03-22"
2943,"オリジナルビデオアニメーション","","COMPILER :Music clips in Trackdown:","コンパイラミュージッククリップスイントラックダウン","","","1","","1992-09-05"
15018,"ゲーム","アドベンチャー","Confidential Money ~300日で3000万ドル稼ぐ方法~","コンフィデンシャルマネーサンビャクニチデサンゼンマンドルカセグホウホウ","","","","15才以上","2012-10-04"
3240,"オリジナルビデオアニメーション","","紺碧の艦隊","コンペキノカンタイ","","","","","1994-03-16"
10351,"ゲーム","アドベンチャー","こんぼく麻雀","コンボクマージャン","こんな麻雀があったら僕はロン!","コンナマージャンガアッタラボクハロン","","18才以上","2008-06-26"
513,"テレビアニメーション","","コンポラキッド","コンポラキッド","","","26","","1985-06-03"
8423,"ゲーム","","今夜のオカズはレンジdeまりね","コンヤノオカズハレンジデマリネ","","","","","2006-08-25"
11898,"バラエティ","","今夜はプネ・プネ","コンヤハプネプネ","","","26","","2001-04-08"
11081,"ドラマ","","さ・し・す・せ・そ!?","サ・シ・ス・セ・ソ","","","40","","1997-11-03"
11045,"ドラマ","","ザ・ハングマンV","ザ・ハングマンファイブ","","","27","","1986-02-07"
19025,"企画もの","","SERVAMP-サーヴァンプ-","サーヴァンプ","","","","","2015-06-24"
8757,"Webラジオ","","サーカス情報局ボルケーノ","サーカスジョウホウキョクボルケーノ","","","107","","2004-12-01"
8756,"ゲーム","アドベンチャー","Circus Disk~Christmas Days~","サーカスディスク","","","","","2006-12-22"
9207,"ゲーム","テーブルゲーム","CircusLand I","サーカスランドワン","","","","18才以上","2007-07-27"
2216,"オリジナルビデオアニメーション","","サーキットエンジェル ~決意のスターティング・グリッド~","サーキットエンジェルケツイノスターティンググリッド","","","1","","1987-05-21"
5289,"劇場用特撮","","サーキットの狼","サーキットノオオカミ","","","1","","1977-08-06"
2565,"オリジナルビデオアニメーション","","サーキットの狼 II モデナの剣","サーキットノオオカミ2","","","1","","1990-12-21"
16160,"テレビアニメーション","","サーバント×サービス","サーバントサービス","","","13","","2013-07-05"
2484,"テレビアニメーション","","SURF SIDE HIGH-SCHOOL","サーフサイドハイスクール","","","20","","1999-05-31"
9783,"劇場用アニメーション","","サーフズ・アップ","サーフズアップ","","","1","","2007-12-15"
10751,"ゲーム","アドベンチャー","ザーメンセキュリティ2009","ザーメンセキュリティニセンキュウ","","","","18才以上","2008-12-19"
4212,"ゲーム","アドベンチャー","さーもんぴんく","サーモンピンク","","","","","2000-11-24"
14215,"テレビアニメーション","","さぁイコー!たまごっち","サアイコータマゴッチ","","","12","","2007-12-01"
7893,"ゲーム","パズル","XI[sai]","サイ","","","","","1998-06-18"
5257,"ゲーム","アドベンチャー","罪悪感","ザイアクカン","","","","","2001-12-14"
17666,"ゲーム","アドベンチャー","催淫巨乳団恥妻 ~イケないのに…疼いちゃう…~","サイインキョニュウダンチヅマイケナイノニウズイチャウ","","","","18才以上","2014-10-31"
16218,"ゲーム","アドベンチャー","最淫Security SeiCoM","サイインセキュリティーセイコム","","","","18才以上","2013-06-28"
16726,"ゲーム","アドベンチャー","催淫調教~孫の身体はみんなの玩具~","サイインチョウキョウマゴノカラダハミンナノガング","","","","18才以上","2013-08-23"
8039,"テレビアニメーション","","彩雲国物語","サイウンコクモノガタリ","","","78","","2006-04-08"
12768,"ラジオ","","斎賀・浪川のDriver's High!!","サイガナミカワノドライバーズハイ","","","91","","2010-04-03"
10816,"ゲーム","アドベンチャー","才気煥発才色兼備の君たちへ","サイキカンパツサイショクケンビノキミタチヘ","","","","18才以上","2009-01-22"
5353,"Webアニメーション","","サイキックアカデミー 煌羅万象","サイキックアカデミーオウラバンショウ","","","24","","2002-03-29"
4462,"オリジナルビデオアニメーション","","サイキックフォース","サイキックフォース","","","2","","1998-02-25"
3454,"ゲーム","対戦格闘アクション","サイキックフォース","サイキックフォース1","","","","","1996-10-04"
3455,"ゲーム","対戦格闘アクション","サイキックフォース2","サイキックフォース2","","","","","1999-10-07"
6296,"ゲーム","パズル","サイキックフォース パズル大戦","サイキックフォースパズルダイタイセン","","","","","1997-10-02"
16431,"テレビアニメーション","","最強銀河 究極ゼロ~バトルスピリッツ~","サイキョウギンガアルティメットゼロバトルスピリッツ","","","49","","2013-09-22"
12654,"テレビアニメーション","","最強武将伝 三国演義","サイキョウブショウデンサンゴクエンギ","","","52","","2010-04-04"
12011,"ゲーム","アドベンチャー","最凶魔法少女アリナ","サイキョウマホウショウジョアリナ","","","","18才以上","2009-09-25"
530,"テレビアニメーション","","最強ロボダイオージャ","サイキョウロボダイオージャ","","","50","","1981-01-31"
16758,"テレビアニメーション","","最近、妹のようすがちょっとおかしいんだが。","サイキンイモウトノヨウスガチョットオカシンダガ","","","12","","2014-01-04"
531,"テレビアニメーション","","サイキン ポンタ","サイキンポンタ","","","12","","1994-04-07"
532,"テレビアニメーション","","サイコアーマー ゴーバリアン","サイコアーマーゴーバリアン","","","26","","1983-07-06"
12890,"ドラマ","","最高の恋人","サイコウノコイビト","","","11","","1995-04-17"
2610,"ゲーム","","サイコ・ソルジャー","サイコソルジャー","","","","","1987-03-00"
1830,"オリジナルビデオアニメーション","","サイコダイバー 魔性菩薩","サイコダイバーマショウボサツ","","","1","","1997-05-21"
14695,"ドラマ","","サイコドクター","サイコドクター","","","11","","2002-10-09"
13609,"ゲーム","ロールプレイング","最後の約束の物語","サイゴノヤクソクノモノガタリ","","","","12才以上","2011-04-28"
15369,"テレビアニメーション","","PSYCHO-PASS","サイコパス","","","22","","2012-10-12"
17580,"劇場用アニメーション","","PSYCHO-PASS","サイコパス","","","1","","2015-01-09"
18107,"ゲーム","アドベンチャー","PSYCHO-PASS サイコパス 選択なき幸福","サイコパスセンタクナキコウフク","","","","","2015-05-28"
17579,"テレビアニメーション","","PSYCHO-PASS 2","サイコパスツー","","","11","","2014-10-10"
18392,"ゲーム","","サイコロジック・ラブコメディ","サイコロジックラブコメディ","","","","18才以上","2015-08-16"
6404,"テレビアニメーション","","さいころボット コンボック","サイコロボットコンボック","","","24","","2003-10-06"
10329,"ドラマ","","再婚一直線!","サイコンイッチョクセン","","","","","2008-05-12"
18739,"テレビアニメーション","","最弱無敗の神装機竜","サイジャクムハイノバハムート","","","12","","2016-01-11"
5962,"ゲーム","アドベンチャー","罪囚-The SiN-","ザイシュウザシン","","","","18才以上","2003-09-26"
9402,"Webアニメーション","","最終試験くじら","サイシュウシケンクジラ","","","12","","2007-08-25"
7201,"ゲーム","アドベンチャー","最終試験くじら","サイシュウシケンクジラ","","","","18才以上","2004-12-23"
8758,"ゲーム","その他","最終試験くじら~Departures~","サイシュウシケンクジラデパーチャーズ","","","","18才以上","2005-12-23"
13168,"オリジナルビデオアニメーション","","最終痴漢電車","サイシュウチカンデンシャ","","","3","18才以上","2002-09-25"
13743,"ゲーム","アドベンチャー","最終痴漢電車3","サイシュウチカンデンシャスリー","","","","18才以上","2010-12-17"
15174,"オリジナルビデオアニメーション","","最終痴漢電車NEXT","サイシュウチカンデンシャネクスト","","","","18才以上","2012-07-27"
5493,"テレビアニメーション","","最終兵器彼女","サイシュウヘイキカノジョ","","","13","","2002-07-02"
15179,"一般映画","","最終兵器彼女","サイシュウヘイキカノジョ","","","","","2006-01-28"
7573,"オリジナルビデオアニメーション","","最終兵器彼女 Another love song","サイシュウヘイキカノジョアナザーラブソング","","","2","","2005-08-05"
3171,"オリジナルビデオアニメーション","","埼玉暴走最前線 フラッグ! 死にものぐるいの青春!","サイタマボウソウサイゼンセンフラッグシニモノグルイノセイシュン","","","1","","1994-12-01"
7646,"Webラジオ","","斉藤圭のスピードグラファー『快楽超人ユーフォリア』","サイトウケイノスピードグラファーカイラクチョウジンユーフォリア","","","39","","2005-04-01"
9824,"ドラマ","","斉藤さん","サイトウサン","","","","","2008-01-09"
6933,"ゲーム","アドベンチャー","C・A・T~サイバーアタックチーム~","サイバーアタックチーム","","","","","2003-06-26"
7161,"オリジナル特撮ビデオ","","サイバーシスターズD3","サイバーシスターズディースリー","","","1","","2004-02-25"
4114,"テレビアニメーション","","CYBERSIX","サイバーシックス","","","13","","2000-10-16"
2566,"オリジナルビデオアニメーション","","CYBER CITY OEDO 808","サイバーシティオエド808","","","3","","1990-06-21"
8581,"テレビ特撮","","サイバー美少女テロメア","サイバービショウジョテロメア","","","11","","1998-04-05"
10650,"ゲーム","","采配のゆくえ","サイハイノユクエ","","","","","2008-10-23"
8382,"ゲーム","アドベンチャー","最果てのイマ","サイハテノイマ","","","","","2005-08-12"
10596,"ゲーム","アドベンチャー","最果てのイマ フルボイス版","サイハテノイマフルボイスバン","","","","","2007-11-30"
2332,"オリジナルビデオアニメーション","","CIPHER","サイファ","","","1","","1989-03-03"
4109,"テレビアニメーション","","サイファイハリー","サイファイハリー","","","20","","2000-10-07"
10549,"ゲーム","テーブルゲーム","さいふぁい麻雀","サイファイマージャン","","","","",\N
3200,"テレビアニメーション","","サイボーグ クロちゃん","サイボーグクロチャン","","","66","","1999-10-02"
534,"テレビアニメーション","","サイボーグ009","サイボーグゼロゼロナイン","","","26","","1968-04-05"
4990,"テレビアニメーション","","サイボーグ009","サイボーグゼロゼロナイン","","","50","","2001-10-14"
533,"劇場用アニメーション","","サイボーグ009","サイボーグゼロゼロナイン","","","1","","1966-07-21"
9216,"ゲーム","アクション","サイボーグ009","サイボーグゼロゼロナイン","","","","","1993-07-30"
18553,"劇場用アニメーション","","サイボーグ009VSデビルマン","サイボーグゼロゼロナインヴァーサスデビルマン","","","1","","2015-10-17"
4342,"劇場用アニメーション","","サイボーグ009 怪獣戦争","サイボーグゼロゼロナインカイジュウセンソウ","","","1","","1967-03-19"
535,"テレビアニメーション","","サイボーグ009(新)","サイボーグゼロゼロナインシン","","","50","","1979-03-06"
1858,"劇場用アニメーション","","サイボーグ009 超銀河伝説","サイボーグゼロゼロナインチョウギンガデンセツ","","","1","","1980-12-20"
536,"テレビアニメーション","","サイボーグ花ちゃん","サイボーグハナチャン","","","12","","1994-11-28"
537,"テレビアニメーション","","サイボットロボッチ","サイボットロボッチ","","","39","","1982-10-07"
14281,"一般映画","","催眠","サイミン","","","1","","1999-06-05"
19036,"ゲーム","アドベンチャー","催眠委員長","サイミンイインチョウ","","","","18才以上","2016-04-28"
14161,"オリジナルビデオアニメーション","","催眠学園","サイミンガクエン","","","2","18才以上","2008-08-08"
14060,"ゲーム","アドベンチャー","催眠交姦","サイミンコウカン","","","","18才以上","2011-09-30"
13131,"オリジナルビデオアニメーション","","催眠術 2nd version","サイミンジュツセカンドバージョン","","","2","18才以上","2008-10-25"
16547,"オリジナルビデオアニメーション","","催眠術ZERO","サイミンジュツゼロ","","","","18才以上","2013-05-17"
12463,"ゲーム","アドベンチャー","催眠生活~校則だから仕方ない!?~","サイミンセイカツコウソクダカラシカタナイ","","","","18才以上","2010-02-26"
17620,"ゲーム","アドベンチャー","サイミンZ","サイミンゼット","","","","18才以上","2014-11-28"
17410,"ゲーム","アドベンチャー","催眠パラノイア","サイミンパラノイア","","","","18才以上","2014-08-29"
15474,"ゲーム","アドベンチャー","催眠遊戯","サイミンユウギ","","","","18才以上","2012-10-26"
14541,"オリジナルビデオアニメーション","","催眠凌辱学園","サイミンリョウジョクガクエン","","","3","18才以上","2008-12-19"
6777,"オリジナルビデオアニメーション","","最遊記","サイユウキ","","","2","","1999-04-23"
3465,"劇場用アニメーション","","西遊記","サイユウキ(エイガ)","","","1","","1960-08-14"
3269,"ゲーム","","西遊記","サイユウキ(ゲーム)","","","","","1999-11-11"
1517,"ドラマ","","西遊記","サイユウキ(ドラマ1)","","","","","1978-10-01"
3703,"ドラマ","","西遊記II","サイユウキ(ドラマ2)","","","","","1979-11-11"
7678,"ドラマ","","西遊記","サイユウキ(ドラマ3)","","","17","","1994-04-08"
13405,"オリジナルビデオアニメーション","","最遊記外伝","サイユウキガイデン","","","3","","2011-03-25"
6393,"テレビアニメーション","","最遊記RELOAD","サイユウキリロード","","","25","","2003-10-02"
6728,"テレビアニメーション","","最遊記-RELOAD GUNLOCK-","サイユウキリロードガンロック","","","26","","2004-04-02"
9048,"オリジナルビデオアニメーション","","最遊記RELOAD-burial-","サイユウキリロードブリアル","","","","","2007-04-27"
18487,"ゲーム","アドベンチャー","SA-7 SILENT ABILITY SEVEN","サイレントアビリティーセブン","","","","","2015-00-00"
6537,"ゲーム","アドベンチャー","Silent Half","サイレントハーフ","","","","18才以上","2003-12-26"
2666,"ゲーム","アクション","SILENT HILL","サイレントヒル","","","","","1999-03-04"
8369,"ゲーム","アクション","SILENT HILL 3","サイレントヒルスリー","","","","","2003-07-03"
8370,"ゲーム","","SILENT HILL 4:THE ROOM","サイレントヒルフォーザルーム","","","","","2004-06-17"
1646,"テレビアニメーション","","SILENT MÖBIUS","サイレントメビウス","","","26","","1998-04-07"
1844,"劇場用アニメーション","","サイレントメビウス THE MOTION PICTURE","サイレントメビウスザモーションピクチャー","","","1","","1991-08-17"
538,"劇場用アニメーション","","サイレントメビウス THE MOTION PICTURE 2","サイレントメビウスザモーションピクチャーツー","","","1","","1992-07-18"
6308,"ドラマ","","サインはV","サインハブイ","","","45","","1969-10-05"
9206,"ドラマ","","サインはV","サインハブイ","","","24","","1973-10-14"
3059,"ゲーム","","サウザンドアームズ","サウザンドアームズ","","","","","1998-12-17"
566,"テレビアニメーション","","ザ・ウルトラマン","ザウルトラマン","","","50","","1979-04-04"
14094,"オリジナルビデオアニメーション","","THE UROTSUKI","ザウロツキ","","","3","18才以上","2002-05-03"
1703,"ゲーム","アドベンチャー","サウンドノベル街","サウンドノベルマチ","","","","","1998-01-22"
17781,"テレビアニメーション","","冴えない彼女の育てかた","サエナイヒロインノソダテカタ","","","13","","2015-01-09"
10408,"ゲーム","アドベンチャー","さかあがりハリケーン","サカアガリハリケーン","","","","18才以上","2008-11-28"
13510,"ゲーム","アドベンチャー","さかあがりハリケーン Portable","サカアガリハリケーンポータブル","","","","12才以上","2011-07-28"
2737,"オリジナルビデオアニメーション","","ザ・学園超女隊","ザガクエンチョウジョタイ","","","1","","1991-06-27"
567,"テレビ特撮","","ザ・カゲスター","ザカゲスター","","","34","","1976-04-05"
13701,"劇場用特撮","","ザ・カゲスター","ザカゲスター","","","1","","1976-07-22"
16632,"劇場用アニメーション","","サカサマのパテマ","サカサマノパテマ","","","1","","2013-11-09"
10143,"ゲーム","アドベンチャー","さかしき人にみるこころ","サカシキヒトニミルココロ","","","","18才以上","2008-05-30"
16564,"ゲーム","育成・恋愛シミュレーション","サカつく プロサッカークラブをつくろう!","サカツクプロサッカークラブヲツクロウ","","","","全年齢","2013-10-10"
4979,"ゲーム","アドベンチャー","The ガッツ!3~山でガッツ!~","ザガッツスリーヤマデガッツ","","","","18才以上","2001-07-27"
568,"テレビアニメーション","","Theかぼちゃワイン","ザカボチャワイン","","","95","","1982-07-05"
19008,"テレビアニメーション","","坂本ですが?","サカモトデスガ","","","","","2016-04-08"
6237,"ゲーム","アドベンチャー","相楽さん家の悦楽ライフ♪","サガラサンチノエツラクライフ","","","","18才以上","2003-08-28"
11039,"テレビアニメーション","","咲-Saki-","サキ","","","25","","2009-04-06"
14419,"テレビアニメーション","","咲-Saki- 阿知賀編 episode of side-A","サキアチカヘンエピソードオブサイドエー","","","16","","2012-04-09"
539,"テレビアニメーション","","魁!!男塾","サキガケオトコジュク","","","34","","1988-02-25"
2416,"劇場用アニメーション","","魁!!男塾","サキガケオトコジュク","","","1","","1988-07-23"
9694,"一般映画","","魁!!男塾","サキガケオトコジュク","","","","","2008-01-26"
16568,"ゲーム","アクション","魁!!男塾 ~日本よ、これが男である!~","サキガケオトコジュクニホンヨコレガオトコデアル","","","","","2014-02-27"
6391,"テレビアニメーション","","魁!!クロマティ高校","サキガケクロマティコウコウ","","","26","","2003-10-03"
16815,"ゲーム","アドベンチャー","サキガケ⇒ジェネレーション!","サキガケジェネレーション","","","","18才以上","2014-05-30"
16746,"テレビアニメーション","","咲-Saki- 全国編","サキゼンコクヘン","","","13","","2014-01-06"
18423,"ゲーム","テーブルゲーム","咲-Saki- 全国編","サキゼンゴクヘン","","","","15才以上","2015-09-17"
18693,"オリジナルビデオアニメーション","","咲日和 ANIMATION","サキビヨリ","","","","","2015-07-25"
12655,"ゲーム","アドベンチャー","咲-Saki- Portable","サキポータブル","","","","","2010-03-25"
9741,"ゲーム","アドベンチャー","咲き乱れ","サキミダレ","","","","","2007-12-14"
9719,"Webアニメーション","","The King of Fighters: Another Day","ザキングオブファイターズアナザーデイ","","","4","","2005-11-25"
3563,"ゲーム","対戦格闘アクション","THE KING OF Fighters '95","ザキングオブファイターズキュウジュウゴ","","","","","1995-07-25"
9298,"ゲーム","対戦格闘アクション","THE KING OF FIGHTERS '97","ザキングオブファイターズキュウジュウナナ","","","","","1997-07-28"
9299,"ゲーム","対戦格闘アクション","THE KING OF FIGHTERS '98","ザキングオブファイターズキュウジュウハチ","","","","","1998-07-23"
1744,"ゲーム","対戦格闘アクション","THE KING OF FIGHTERS '94","ザキングオブファイターズキュウジュウヨン","","","","","1994-10-01"
2096,"ゲーム","対戦格闘アクション","THE KING OF Fighters '96","ザキングオブファイターズキュウジュウロク","","","","","1996-09-27"
8706,"ゲーム","対戦格闘アクション","THE KING OF FIGHTERS XI","ザキングオブファイターズナイン","","","","","2005-10-26"
15398,"ドラマ","","ザ・クイズショウ","ザクイズショウ","(第2シーズン)","ダイニシーズン","10","","2009-04-18"
18452,"ゲーム","ロールプレイング","ザクセスヘブンリベリオン","ザクセスヘブンリベリオン","XUCCESS HEAVEN REBELLION","","","","2015-00-00"
6469,"ゲーム","アドベンチャー","SAKURA~雪月華~","サクラ","","","","","2003-07-31"
17196,"ゲーム","アドベンチャー","サクラ*アンサーズ","サクラアンサーズ","","","","全年齢","2014-05-05"
10415,"ラジオ","","桜井智の冒険ラジオムービー","サクライトモノボウケンラジオムービー","","","21","","1997-04-11"
13423,"ゲーム","アドベンチャー","さくら色カルテット","サクライロカルテット","","","","18才以上","2011-04-08"
11157,"オリジナルビデオアニメーション","","The Crown Knights Jaja馬!カルテット","ザクラウンナイツジャジャウマカルテット","","","2","","1997-05-21"
8487,"ゲーム","","サクラ紀行","サクラキコウ","","","","18才以上","2002-07-19"
18532,"テレビアニメーション","","櫻子さんの足下には死体が埋まっている","サクラコサンノアシモトニハシタイガウマッテイル","","","12","","2015-10-08"
14158,"ゲーム","アドベンチャー","さくら、咲きました。","サクラサキマシタ","","","","18才以上","2012-08-24"
9881,"ゲーム","アドベンチャー","さくらさくら","サクラサクラ","","","","","2009-06-26"
15104,"ゲーム","アドベンチャー","さくらさくらFESTIVAL!","サクラサクラフェスティバル","","","","18才以上","2013-04-26"
9811,"ゲーム","アドベンチャー","さくらシュトラッセ","サクラシュトラッセ","","","","18才以上","2008-01-25"
17870,"ゲーム","アドベンチャー","さくらシンクロニシティ","サクラシンクロニシティ","","","","18才以上","2015-02-27"
15234,"テレビアニメーション","","さくら荘のペットな彼女","サクラソウノペットナカノジョ","","","24","","2012-10-09"
3697,"テレビアニメーション","","サクラ大戦","サクラタイセン","","","25","","2000-04-08"
540,"ゲーム","アドベンチャー","サクラ大戦","サクラタイセン","","","","","1996-09-27"
6144,"オリジナルビデオアニメーション","","サクラ大戦 エコール・ド・巴里","サクラタイセンエコールドパリ","","","3","","2003-03-19"
1881,"オリジナルビデオアニメーション","","サクラ大戦 桜華絢爛","サクラタイセンオウカケンラン","","","4","","1997-12-18"
5065,"劇場用アニメーション","","サクラ大戦 活動写真","サクラタイセンカツドウシャシン","","","1","","2001-12-22"
15672,"オリジナルビデオアニメーション","","サクラ大戦奏組","サクラタイセンカナデグミ","","","","","2012-09-20"
6147,"オリジナルビデオアニメーション","","サクラ大戦~神崎すみれ 引退記念~す・み・れ","サクラタイセンカンザキスミレインタイキネンスミレ","","","1","","2002-12-18"
3372,"オリジナルビデオアニメーション","","サクラ大戦 轟華絢爛","サクラタイセンゴウカケンラン","","","6","","1999-12-18"
4511,"ゲーム","アドベンチャー","サクラ大戦3~巴里は燃えているか~","サクラタイセンスリーパリハモエテイルカ","","","","","2001-03-22"
1640,"ゲーム","アドベンチャー","サクラ大戦2~君、死にたもうことなかれ~","サクラタイセンツーキミシニタモウコトナカレ","","","","","1998-04-02"
10813,"ゲーム","その他","サクラ大戦 帝撃グラフ","サクラタイセンテイゲキグラフ","","","","","1998-12-23"
9069,"オリジナルビデオアニメーション","","サクラ大戦 ニューヨーク・紐育","サクラタイセンニューヨーク","","","6","","2007-04-04"
7189,"ゲーム","アクション","サクラ大戦V EPISODE 0~荒野のサムライ娘~","サクラタイセンファイブエピソードゼロコウヤノサムライムスメ","","","","","2004-09-22"
